Action;Surname;GivenName;SamAccountName;DisplayName;UserPrincipalName;OfficePhone;Description;EmailAddress;Password
Update;Holder;Yasmine;yholder;Yasmine Holder;yholder@batac.lan;121;TSSR;yasmine.holder@batac.lan;T$$r2019ninja
Update;Klein;Amelie;aklein;Amelie Klein;aklein@batac.lan;122;TSSR;amelie.klein@batac.lan;T$$r2019ninja
Update;Nguyen;Justine;jnguyen;Justine Nguyen;jnguyen@batac.lan;123;TSSR;justine.nguyen@batac.lan;T$$r2019ninja
Update;Kelley;Julie;jkelley;Julie Kelley;jkelley@batac.lan;124;TSSR;julie.kelley@batac.lan;T$$r2019ninja
Update;Price;Matheo;mprice;Matheo Price;mprice@batac.lan;125;TSSR;matheo.price@batac.lan;T$$r2019ninja
Update;Holmes;Lucie;lholmes;Lucie Holmes;lholmes@batac.lan;126;TSSR;lucie.holmes@batac.lan;T$$r2019ninja
Update;Battle;Jade;jbattle;Jade Battle;jbattle@batac.lan;127;TSSR;jade.battle@batac.lan;T$$r2019ninja
Update;Collier;Fanny;fcollier;Fanny Collier;fcollier@batac.lan;128;TSSR;fanny.collier@batac.lan;T$$r2019ninja
Update;Curry;Chloe;ccurry;Chloe Curry;ccurry@batac.lan;129;TSSR;chloe.curry@batac.lan;T$$r2019ninja
Update;Rice;Noah;nrice;Noah Rice;nrice@batac.lan;130;TSSR;noah.rice@batac.lan;T$$r2019ninja
Update;Mcconnell;Yanis;ymcconnell;Yanis Mcconnell;ymcconnell@batac.lan;131;TSSR;yanis.mcconnell@batac.lan;T$$r2019ninja
Update;Sims;Victor;vsims;Victor Sims;vsims@batac.lan;132;TSSR;victor.sims@batac.lan;T$$r2019ninja
Update;Fuentes;Evan;efuentes;Evan Fuentes;efuentes@batac.lan;133;TSSR;evan.fuentes@batac.lan;T$$r2019ninja
Update;Vazquez;Maryam;mvazquez;Maryam Vazquez;mvazquez@batac.lan;134;TSSR;maryam.vazquez@batac.lan;T$$r2019ninja
Update;Rodgers;Julien;jrodgers;Julien Rodgers;jrodgers@batac.lan;135;TSSR;julien.rodgers@batac.lan;T$$r2019ninja
Update;Irwin;Maelle;mirwin;Maelle Irwin;mirwin@batac.lan;136;TSSR;maelle.irwin@batac.lan;T$$r2019ninja
Update;Justice;Loevan;ljustice;Loevan Justice;ljustice@batac.lan;137;TSSR;loevan.justice@batac.lan;T$$r2019ninja
Update;Peck;Dorian;dpeck;Dorian Peck;dpeck@batac.lan;138;TSSR;dorian.peck@batac.lan;T$$r2019ninja
Update;Stephens;Kylian;kstephens;Kylian Stephens;kstephens@batac.lan;139;TSSR;kylian.stephens@batac.lan;T$$r2019ninja
Update;Wheeler;elisa;ewheeler;elisa Wheeler;ewheeler@batac.lan;140;TSSR;elisa.wheeler@batac.lan;T$$r2019ninja
Update;Charles;Laura;lcharles;Laura Charles;lcharles@batac.lan;141;TSSR;laura.charles@batac.lan;T$$r2019ninja
Update;Gay;Quentin;qgay;Quentin Gay;qgay@batac.lan;142;TSSR;quentin.gay@batac.lan;T$$r2019ninja
Update;Harding;Chaima;charding;Chaima Harding;charding@batac.lan;143;TSSR;chaima.harding@batac.lan;T$$r2019ninja
Update;Melendez;Emma;emelendez;Emma Melendez;emelendez@batac.lan;144;TSSR;emma.melendez@batac.lan;T$$r2019ninja
Update;Douglas;elisa;edouglas;elisa Douglas;edouglas@batac.lan;145;TSSR;elisa.douglas@batac.lan;T$$r2019ninja
Update;Gilmore;Jordan;jgilmore;Jordan Gilmore;jgilmore@batac.lan;146;TSSR;jordan.gilmore@batac.lan;T$$r2019ninja
Update;Cunningham;Louise;lcunningham;Louise Cunningham;lcunningham@batac.lan;147;TSSR;louise.cunningham@batac.lan;T$$r2019ninja
Update;Mcdonald;Marion;mmcdonald;Marion Mcdonald;mmcdonald@batac.lan;148;TSSR;marion.mcdonald@batac.lan;T$$r2019ninja
Update;Serrano;Lina;lserrano;Lina Serrano;lserrano@batac.lan;149;TSSR;lina.serrano@batac.lan;T$$r2019ninja
Update;Beck;Adam;abeck;Adam Beck;abeck@batac.lan;150;TSSR;adam.beck@batac.lan;T$$r2019ninja
Update;Marks;Lutecia;lmarks;Lutecia Marks;lmarks@batac.lan;151;TSSR;lutecia.marks@batac.lan;T$$r2019ninja
Update;Sharp;Bienvenue;bsharp;Bienvenue Sharp;bsharp@batac.lan;152;TSSR;bienvenue.sharp@batac.lan;T$$r2019ninja
Update;Sampson;Amine;asampson;Amine Sampson;asampson@batac.lan;153;TSSR;amine.sampson@batac.lan;T$$r2019ninja
Update;Mullins;Agathe;amullins;Agathe Mullins;amullins@batac.lan;154;TSSR;agathe.mullins@batac.lan;T$$r2019ninja
Update;Higgins;Maceo;mhiggins;Maceo Higgins;mhiggins@batac.lan;155;TSSR;maceo.higgins@batac.lan;T$$r2019ninja
Update;Pickett;Syrine;spickett;Syrine Pickett;spickett@batac.lan;156;TSSR;syrine.pickett@batac.lan;T$$r2019ninja
Update;Flores;Evan;eflores;Evan Flores;eflores@batac.lan;157;TSSR;evan.flores@batac.lan;T$$r2019ninja
Update;Noble;Lina;lnoble;Lina Noble;lnoble@batac.lan;158;TSSR;lina.noble@batac.lan;T$$r2019ninja
Update;Serrano;Candice;cserrano;Candice Serrano;cserrano@batac.lan;159;TSSR;candice.serrano@batac.lan;T$$r2019ninja
Update;Kent;Gregory;gkent;Gregory Kent;gkent@batac.lan;160;TSSR;gregory.kent@batac.lan;T$$r2019ninja
Update;Solomon;Lamia;lsolomon;Lamia Solomon;lsolomon@batac.lan;161;TSSR;lamia.solomon@batac.lan;T$$r2019ninja
Update;Rojas;Leonard;lrojas;Leonard Rojas;lrojas@batac.lan;162;TSSR;leonard.rojas@batac.lan;T$$r2019ninja
Update;Meadows;Maile;mmeadows;Maile Meadows;mmeadows@batac.lan;163;TSSR;maile.meadows@batac.lan;T$$r2019ninja
Update;Cleveland;Pauline;pcleveland;Pauline Cleveland;pcleveland@batac.lan;164;TSSR;pauline.cleveland@batac.lan;T$$r2019ninja
Update;West;Melissa;mwest;Melissa West;mwest@batac.lan;165;TSSR;melissa.west@batac.lan;T$$r2019ninja
Update;Stevenson;Manon;mstevenson;Manon Stevenson;mstevenson@batac.lan;166;TSSR;manon.stevenson@batac.lan;T$$r2019ninja
Update;Baldwin;Margot;mbaldwin;Margot Baldwin;mbaldwin@batac.lan;167;TSSR;margot.baldwin@batac.lan;T$$r2019ninja
Update;Moses;Lucie;lmoses;Lucie Moses;lmoses@batac.lan;168;TSSR;lucie.moses@batac.lan;T$$r2019ninja
Update;Mayo;Constant;cmayo;Constant Mayo;cmayo@batac.lan;169;TSSR;constant.mayo@batac.lan;T$$r2019ninja
Update;Lawson;Bruno;blawson;Bruno Lawson;blawson@batac.lan;170;TSSR;bruno.lawson@batac.lan;T$$r2019ninja
Update;Richmond;Maeva;mrichmond;Maeva Richmond;mrichmond@batac.lan;171;TSSR;maeva.richmond@batac.lan;T$$r2019ninja
Update;Herman;Maile;mherman;Maile Herman;mherman@batac.lan;172;TSSR;maile.herman@batac.lan;T$$r2019ninja
Update;Jacobson;Clara;cjacobson;Clara Jacobson;cjacobson@batac.lan;173;TSSR;clara.jacobson@batac.lan;T$$r2019ninja
Update;Charles;Rose;rcharles;Rose Charles;rcharles@batac.lan;174;TSSR;rose.charles@batac.lan;T$$r2019ninja
Update;Odom;Laura;lodom;Laura Odom;lodom@batac.lan;175;TSSR;laura.odom@batac.lan;T$$r2019ninja
Update;Barrera;Amandine;abarrera;Amandine Barrera;abarrera@batac.lan;176;TSSR;amandine.barrera@batac.lan;T$$r2019ninja
Update;Todd;Malo;mtodd;Malo Todd;mtodd@batac.lan;177;TSSR;malo.todd@batac.lan;T$$r2019ninja
Update;Fletcher;Paul;pfletcher;Paul Fletcher;pfletcher@batac.lan;178;TSSR;paul.fletcher@batac.lan;T$$r2019ninja
Update;Knowles;Colin;cknowles;Colin Knowles;cknowles@batac.lan;179;TSSR;colin.knowles@batac.lan;T$$r2019ninja
Update;Craft;Anthony;acraft;Anthony Craft;acraft@batac.lan;180;TSSR;anthony.craft@batac.lan;T$$r2019ninja
Update;Atkinson;Nolan;natkinson;Nolan Atkinson;natkinson@batac.lan;181;TSSR;nolan.atkinson@batac.lan;T$$r2019ninja
Update;Jacobs;Angelina;ajacobs;Angelina Jacobs;ajacobs@batac.lan;182;TSSR;angelina.jacobs@batac.lan;T$$r2019ninja
Update;Farley;Lilian;lfarley;Lilian Farley;lfarley@batac.lan;183;TSSR;lilian.farley@batac.lan;T$$r2019ninja
Update;Stone;Maiwenn;mstone;Maiwenn Stone;mstone@batac.lan;184;TSSR;maiwenn.stone@batac.lan;T$$r2019ninja
Update;Yates;Jasmine;jyates;Jasmine Yates;jyates@batac.lan;185;TSSR;jasmine.yates@batac.lan;T$$r2019ninja
Update;Herman;Dimitri;dherman;Dimitri Herman;dherman@batac.lan;186;TSSR;dimitri.herman@batac.lan;T$$r2019ninja
Update;Smith;Rosalie;rsmith;Rosalie Smith;rsmith@batac.lan;187;TSSR;rosalie.smith@batac.lan;T$$r2019ninja
Update;Yates;Mehdi;myates;Mehdi Yates;myates@batac.lan;188;TSSR;mehdi.yates@batac.lan;T$$r2019ninja
Update;Santos;Jules;jsantos;Jules Santos;jsantos@batac.lan;189;TSSR;jules.santos@batac.lan;T$$r2019ninja
Update;Quinn;Ines;iquinn;Ines Quinn;iquinn@batac.lan;190;TSSR;ines.quinn@batac.lan;T$$r2019ninja
Update;Campos;Cloe;ccampos;Cloe Campos;ccampos@batac.lan;191;TSSR;cloe.campos@batac.lan;T$$r2019ninja
Update;Marquez;Salome;smarquez;Salome Marquez;smarquez@batac.lan;192;TSSR;salome.marquez@batac.lan;T$$r2019ninja
Update;Farley;Maelle;mfarley;Maelle Farley;mfarley@batac.lan;193;TSSR;maelle.farley@batac.lan;T$$r2019ninja
Update;Wagner;Capucine;cwagner;Capucine Wagner;cwagner@batac.lan;194;TSSR;capucine.wagner@batac.lan;T$$r2019ninja
Update;Burgess;Valentine;vburgess;Valentine Burgess;vburgess@batac.lan;195;TSSR;valentine.burgess@batac.lan;T$$r2019ninja
Update;Noble;Valentine;vnoble;Valentine Noble;vnoble@batac.lan;196;TSSR;valentine.noble@batac.lan;T$$r2019ninja
Update;Bartlett;Bruno;bbartlett;Bruno Bartlett;bbartlett@batac.lan;197;TSSR;bruno.bartlett@batac.lan;T$$r2019ninja
Update;Hart;Alicia;ahart;Alicia Hart;ahart@batac.lan;198;TSSR;alicia.hart@batac.lan;T$$r2019ninja
Update;Collins;Simon;scollins;Simon Collins;scollins@batac.lan;199;TSSR;simon.collins@batac.lan;T$$r2019ninja
Update;Pace;Killian;kpace;Killian Pace;kpace@batac.lan;200;TSSR;killian.pace@batac.lan;T$$r2019ninja
